                               Domain Name                                     Hierarchy Path               Object Type                     Tên tiếng Việt  Object Category       Parent Object                   Owner/Actor                                                                                                                            Description
0             Partner & Product Management                   D01 Partner & Product Management                DomainRoot         Quản lý Đối tác & Sản phẩm           Domain                 NaN     Product Ops / Partner Ops                                 Đối tác bảo hiểm, sản phẩm, phiên bản sản phẩm, claim type, template quyền lợi/chứng từ/rule/workflow.
1             Partner & Product Management                                      D01 > Partner                   Partner                            Đối tác             Core          DomainRoot     Product Ops / Partner Ops                                                                                        Đối tác trong domain Quản lý Đối tác & Sản phẩm
2             Partner & Product Management                            D01 > Partner > Product                   Product                           Sản phẩm             Core             Partner     Product Ops / Partner Ops                                                                                       Sản phẩm trong domain Quản lý Đối tác & Sản phẩm
3             Partner & Product Management                     D01 > Product > ProductVersion            ProductVersion                 Phiên bản sản phẩm          Version             Product     Product Ops / Partner Ops                                                                             Phiên bản sản phẩm trong domain Quản lý Đối tác & Sản phẩm
4             Partner & Product Management                   D01 > ProductVersion > ClaimType                 ClaimType                         Loại claim           Config      ProductVersion     Product Ops / Partner Ops                                                                                     Loại claim trong domain Quản lý Đối tác & Sản phẩm
5             Partner & Product Management            D01 > ProductVersion > CoverageTemplate          CoverageTemplate               Mẫu phạm vi bảo hiểm         Template      ProductVersion     Product Ops / Partner Ops                                                                           Mẫu phạm vi bảo hiểm trong domain Quản lý Đối tác & Sản phẩm
6             Partner & Product Management             D01 > ProductVersion > BenefitTemplate           BenefitTemplate                      Mẫu quyền lợi         Template      ProductVersion     Product Ops / Partner Ops                                                                                  Mẫu quyền lợi trong domain Quản lý Đối tác & Sản phẩm
7             Partner & Product Management    D01 > ProductVersion > RequiredDocumentTemplate  RequiredDocumentTemplate              Mẫu chứng từ bắt buộc         Template      ProductVersion     Product Ops / Partner Ops                                                                          Mẫu chứng từ bắt buộc trong domain Quản lý Đối tác & Sản phẩm
8             Partner & Product Management           D01 > ProductVersion > ProductRuleConfig         ProductRuleConfig             Cấu hình rule sản phẩm           Config      ProductVersion     Product Ops / Partner Ops                                                                         Cấu hình rule sản phẩm trong domain Quản lý Đối tác & Sản phẩm
9             Partner & Product Management       D01 > ProductVersion > ProductWorkflowConfig     ProductWorkflowConfig         Cấu hình workflow sản phẩm           Config      ProductVersion     Product Ops / Partner Ops                                                                     Cấu hình workflow sản phẩm trong domain Quản lý Đối tác & Sản phẩm
10            Partner & Product Management                   D01 > Partner > ProviderContract          ProviderContract          Hợp đồng nhà cung cấp/TPA        Reference             Partner     Product Ops / Partner Ops                                                                      Hợp đồng nhà cung cấp/TPA trong domain Quản lý Đối tác & Sản phẩm
11            Policy & Coverage Management                   D02 Policy & Coverage Management                DomainRoot       Quản lý Hợp đồng & Quyền lợi           Domain                 NaN           Policy/Coverage Ops                                    Policy, certificate, coverage, benefit, limit, deductible, coinsurance, exclusion, coverage result.
12            Policy & Coverage Management                                       D02 > Policy                    Policy                  Hợp đồng bảo hiểm             Core          DomainRoot           Policy/Coverage Ops                                                                            Hợp đồng bảo hiểm trong domain Quản lý Hợp đồng & Quyền lợi
13            Policy & Coverage Management                         D02 > Policy > Certificate               Certificate                    Giấy chứng nhận             Core              Policy           Policy/Coverage Ops                                                                              Giấy chứng nhận trong domain Quản lý Hợp đồng & Quyền lợi
14            Policy & Coverage Management                            D02 > Policy > Coverage                  Coverage                   Phạm vi bảo hiểm             Core              Policy           Policy/Coverage Ops                                                                             Phạm vi bảo hiểm trong domain Quản lý Hợp đồng & Quyền lợi
